stationid,city,temp,rain,wind,direction,date
5,Iasi,20,0.69,7,V,2023-03-26
9,Brasov,24,0.15,62,S,2023-03-29
6,Bucuresti,-4,0.08,5,SV,2023-03-15
5,Iasi,16,0.52,73,SE,2023-03-04
8,Galati,16,0.53,2,SE,2023-03-22
2,Suceava,6,0.4,58,E,2023-03-29
10,Galati,-20,0.13,34,SE,2023-03-16
6,Constanta,37,0.07,134,E,2023-03-29
8,Constanta,2,0.95,38,V,2023-03-06
10,Bucuresti,-6,0.38,33,NE,2023-03-11
6,Cluj-Napoca,3,0.12,85,NE,2023-03-25
9,Suceava,-12,0.96,119,N,2023-03-29
10,Bucuresti,34,0.62,51,SV,2023-03-13
10,Suceava,-14,0.25,48,E,2023-03-01
7,Bucuresti,27,0.93,18,SE,2023-03-12
5,Cluj-Napoca,1,0.29,91,NE,2023-03-13
8,Bucuresti,-10,0.11,136,SV,2023-03-22
9,Cluj-Napoca,13,1.0,22,S,2023-03-04
6,Galati,23,0.53,31,S,2023-03-16
10,Brasov,31,0.59,113,N,2023-03-27
3,Iasi,6,0.96,114,N,2023-03-03
10,Bucuresti,38,0.5,88,N,2023-03-03
5,Brasov,-5,0.06,34,NV,2023-03-13
1,Iasi,-1,0.8,128,N,2023-03-02
8,Braila,36,0.73,20,S,2023-03-23
6,Braila,2,0.01,62,NV,2023-03-10
2,Constanta,-2,0.76,51,E,2023-03-25
3,Bucuresti,-10,0.47,61,N,2023-03-19
2,Brasov,36,0.05,19,NV,2023-03-23
1,Brasov,19,0.27,17,SV,2023-03-07
9,Galati,40,0.76,108,S,2023-03-06
4,Suceava,8,0.59,15,NE,2023-03-11
2,Brasov,-4,0.55,90,V,2023-03-12
5,Brasov,18,0.22,111,NE,2023-03-11
4,Suceava,-16,0.79,83,NV,2023-03-11
7,Cluj-Napoca,23,0.92,124,SV,2023-03-09
9,Brasov,10,0.73,112,SE,2023-03-05
2,Cluj-Napoca,20,0.58,113,NE,2023-03-25
10,Constanta,7,0.06,126,N,2023-03-14
3,Brasov,0,0.04,38,SE,2023-03-15
1,Iasi,19,0.15,46,E,2023-03-19
6,Brasov,38,0.8,95,E,2023-03-28
9,Bucuresti,14,0.07,140,SE,2023-03-24
3,Iasi,-14,0.92,10,NV,2023-03-26
9,Suceava,35,0.98,110,NV,2023-03-14
6,Braila,-1,0.96,126,SV,2023-03-20
5,Galati,-2,0.41,49,SV,2023-03-14
3,Cluj-Napoca,13,0.58,26,N,2023-03-10
3,Constanta,-11,0.45,4,SE,2023-03-29
1,Constanta,13,0.74,57,SE,2023-03-07
2,Constanta,-18,0.12,135,NV,2023-03-30
7,Bucuresti,19,0.73,118,S,2023-03-11
6,Suceava,39,0.44,80,SV,2023-03-20
9,Iasi,21,0.95,72,SV,2023-03-11
9,Braila,27,0.11,39,S,2023-03-15
1,Braila,19,0.28,122,E,2023-03-22
1,Galati,15,0.92,133,N,2023-03-29
2,Galati,38,0.83,135,V,2023-03-05
8,Iasi,-18,0.49,96,NE,2023-03-11
9,Cluj-Napoca,-19,0.78,33,S,2023-03-12
7,Cluj-Napoca,35,0.47,75,N,2023-03-06
6,Suceava,21,0.72,120,NV,2023-03-05
9,Braila,1,0.1,93,SE,2023-03-13
1,Suceava,33,0.2,125,SE,2023-03-11
7,Bucuresti,9,0.4,39,N,2023-03-05
8,Suceava,-18,0.76,42,NE,2023-03-29
2,Suceava,-14,0.53,105,S,2023-03-21
1,Bucuresti,23,0.35,130,N,2023-03-02
9,Cluj-Napoca,38,0.96,58,NE,2023-03-24
8,Galati,-6,0.73,40,S,2023-03-25
8,Galati,17,0.69,37,SE,2023-03-03
2,Galati,-3,0.93,8,V,2023-03-01
4,Cluj-Napoca,18,0.83,55,V,2023-03-27
7,Constanta,38,0.96,136,SV,2023-03-11
3,Suceava,19,0.44,6,NE,2023-03-28
9,Bucuresti,35,0.65,89,SE,2023-03-21
4,Braila,18,0.11,134,N,2023-03-20
3,Braila,5,0.32,139,NE,2023-03-04
5,Cluj-Napoca,33,0.49,11,SE,2023-03-14
5,Bucuresti,21,0.97,96,V,2023-03-15
5,Brasov,27,0.13,136,SV,2023-03-02
1,Galati,13,0.66,85,S,2023-03-04
2,Cluj-Napoca,-10,0.23,93,SV,2023-03-14
4,Bucuresti,4,0.82,98,V,2023-03-08
5,Galati,-4,0.64,72,S,2023-03-22
1,Cluj-Napoca,7,0.8,28,NV,2023-03-08
10,Constanta,20,0.99,24,E,2023-03-03
2,Cluj-Napoca,15,0.16,41,N,2023-03-10
5,Brasov,11,0.55,72,V,2023-03-02
3,Suceava,19,0.31,43,NV,2023-03-08
4,Constanta,6,0.81,140,S,2023-03-28
3,Cluj-Napoca,11,0.12,59,NV,2023-03-29
3,Bucuresti,3,0.58,137,E,2023-03-13
8,Cluj-Napoca,0,0.91,60,NV,2023-03-27
7,Suceava,32,0.4,49,SE,2023-03-30
2,Suceava,39,0.26,126,SE,2023-03-19
6,Braila,27,0.24,72,NE,2023-03-25
6,Iasi,29,0.93,106,SV,2023-03-09
5,Iasi,23,0.96,118,V,2023-03-08
10,Constanta,-16,0.41,67,E,2023-03-04
8,Cluj-Napoca,29,0.23,19,SE,2023-03-22
7,Bucuresti,-9,0.95,29,SE,2023-03-21
2,Cluj-Napoca,-7,0.59,63,S,2023-03-19
6,Suceava,11,0.12,31,SV,2023-03-10
3,Braila,24,0.85,121,V,2023-03-20
8,Iasi,33,0.98,65,SE,2023-03-24
3,Galati,-15,0.81,138,SE,2023-03-08
8,Bucuresti,37,0.16,137,V,2023-03-24
1,Brasov,35,0.25,24,NE,2023-03-24
3,Constanta,9,0.02,119,N,2023-03-01
5,Galati,12,0.65,36,E,2023-03-15
10,Cluj-Napoca,-1,0.92,129,SV,2023-03-16
4,Constanta,-5,0.53,69,S,2023-03-13
10,Galati,-13,0.43,136,NE,2023-03-24
9,Brasov,36,0.33,23,S,2023-03-27
6,Galati,21,0.4,4,NV,2023-03-02
10,Braila,-7,0.98,2,V,2023-03-11
3,Suceava,2,0.67,16,S,2023-03-02
5,Cluj-Napoca,22,0.71,16,NE,2023-03-13
4,Cluj-Napoca,20,0.22,117,V,2023-03-04
3,Constanta,36,0.38,91,S,2023-03-22
9,Braila,9,1.0,68,SE,2023-03-27
8,Brasov,12,0.25,10,NE,2023-03-14
9,Bucuresti,15,0.39,21,V,2023-03-18
4,Cluj-Napoca,32,0.83,68,NV,2023-03-09
5,Bucuresti,29,0.18,134,S,2023-03-18
5,Suceava,-15,0.62,96,V,2023-03-01
9,Galati,-3,0.06,32,SV,2023-03-21
